gene_id	gene_name	SRR8521732	SRR8521733	SRR8521735	SRR8521737	SRR8521738	SRR8521656	SRR8521658	SRR8521673	SRR8521679	SRR8521683	SRR8521692	SRR8521696	SRR8521702	SRR8521723	SRR8521662	SRR8521675	SRR8521677	SRR8521694	SRR8521698	SRR8521700	SRR8521706	SRR8521666	SRR8521668	SRR8521670
ENSG00000283023	FRG1GP	1.72	1.85	0.29	10.05	9.56	0.52	0.35	1.42	0.59	0.92	1.62	0.54	1.96	0	0.2	1.44	1.28	1.66	1.58	1.73	0.23	0.86	0.72	0.99
ENSG00000283025		0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0
ENSG00000283031		0	0	0.01	0.38	0.22	0.02	0.02	0.19	0	0.24	0	0	0	0.2	0	0	0	0	0.03	0.01	0.14	0.54	0.13	0.25
ENSG00000283033		0	0.01	0	0	0	0	0	0	0	0	0	0.02	0.05	0.1	0	0	0.01	0	0	0	0	0	0	0
ENSG00000283036	LINC01988	0.12	0	0.07	0	0	0	0	0	0	0	0	0	0	0.1	0.09	0	0	0	0	0	0	0	0	0
ENSG00000283039	KLF18	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283041		17.58	13.47	29.93	31.1	22.36	40.7	26.83	29.24	25.1	14.24	16.06	7.59	58.4	56.02	4.57	19.22	14.29	8.42	9.21	8.22	50.93	38.97	40.1	26.64
ENSG00000283043		0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283044		0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283045		0.91	0.85	1.3	4.73	1.9	0.4	1.02	1.62	2.88	1.09	7.57	2.07	0.89	1.85	2.71	0.47	0.06	1.56	4.07	0.93	3.88	3.85	2.85	2.72
ENSG00000283047	FRG1FP	0.89	0.71	0.89	0.93	2.98	0.56	0.73	0.67	2.06	1.48	2.46	1.97	0.49	1.65	1.63	0.62	0.05	0.9	3.53	1.4	1.09	0.3	1.26	1.31
ENSG00000283050	GTF2IP12	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283051	LINC01668	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0
ENSG00000283052	LINC02456	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	1.17	0.09	0.04	0	0.01	0	0
ENSG00000283053		0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0
ENSG00000283057		1.19	0.26	0.39	1.98	0	0	0.36	0.34	0.19	0.28	0.28	0.54	1.76	0.33	0.83	0.12	0.21	4.71	1.6	0.2	1.14	0	2.62	0.3
ENSG00000283058		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283061		0.12	0	0.05	0	0.13	0.33	0.09	0.04	0	0	0	0.27	0	0	0.06	0	0	0.26	0.48	0	0	0	0	1.62
ENSG00000283063	TRBV6-2	8.98	1.44	8.53	0	0	0.15	8.19	6.74	0	0	0	1.01	0	0.9	1.98	1.12	4.65	0	15.31	0.95	15.41	18.95	21.84	3.6
ENSG00000283064	H2BC6-AS1	0.21	0.26	1.06	10.15	10.16	1.64	2.59	0.49	1.3	3.99	2.16	2.71	1.23	4.24	2.79	1.94	1.05	1.25	2.97	2.69	4.91	2.25	2.39	5.12
ENSG00000283065		0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283069	DUX4L32	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283071	LBHD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0
ENSG00000283072		0	0	0.02	0	0	0	0	0.1	0	0	0	0	0.28	0.3	0	0.02	0	0	0	0	0	0	0	0
ENSG00000283075		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0
ENSG00000283076		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0
ENSG00000283078		0.77	0.76	0.32	1.7	2.13	0.7	0.91	0.89	0.18	0.47	0.28	0.57	1.01	1.8	0.76	0.22	1.17	0.14	0.19	0.13	5.01	3.97	4.78	5.06
ENSG00000283083	LINC02498	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0
ENSG00000283084		0	0.32	0	0.49	2.34	0	1.68	0	0.47	0.23	0	0	0.33	0.27	0	0	0.58	9.66	1.23	0.06	0.56	1.69	0.47	0.37
ENSG00000283093	CENPVL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0
ENSG00000283095		0	0	0.09	0	0	0	0.01	0	0.05	0	0.01	0	0.05	0.01	0	0	0	0.01	0	0.01	0.01	0	0.02	0
ENSG00000283096		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283097		0	0.01	0.06	0	0.32	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0
